t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
4.729078,0.248766,0.369799,0.770619,-13.450368,31.112125,3.829642,-17.798383,25.747434,51.726305
4.760338,0.248766,0.369799,0.770619,-13.378410,31.212799,3.743495,-17.798383,25.747434,51.726305
4.811697,0.246786,0.368033,0.771734,-13.363883,31.054356,3.844169,-17.654383,25.624434,51.800305
4.842957,0.246786,0.368033,0.771734,-13.291925,31.097599,3.872884,-17.654383,25.624434,51.800305
4.893894,0.244393,0.366281,0.773030,-13.046998,30.996587,3.829642,-17.480383,25.502434,51.886305
4.925156,0.244393,0.366281,0.773030,-13.205441,30.939156,4.074907,-17.480383,25.502434,51.886305
4.976401,0.241629,0.364543,0.774506,-12.989230,30.794903,4.031664,-17.279383,25.381434,51.984305
5.007658,0.241629,0.364543,0.774506,-12.945987,30.751661,4.074907,-17.279383,25.381434,51.984305
5.058890,0.238492,0.362805,0.776193,-12.830787,30.679703,4.118149,-17.051383,25.260434,52.096305
5.090141,0.238492,0.362805,0.776193,-12.816261,30.621934,4.118149,-17.051383,25.260434,52.096305
5.141444,0.235011,0.361053,0.778091,-12.643291,30.766187,4.348549,-16.798383,25.138434,52.222305
5.172713,0.235011,0.361053,0.778091,-12.455796,30.564503,4.218822,-16.798383,25.138434,52.222305
5.224123,0.231184,0.359258,0.780200,-12.297353,30.549976,4.363076,-16.520383,25.013434,52.362305
5.255381,0.231184,0.359258,0.780200,-12.210869,30.578692,4.291118,-16.520383,25.013434,52.362305
5.306200,0.227054,0.357434,0.782534,-12.138911,30.377007,4.449560,-16.220383,24.886434,52.517305
5.337473,0.227054,0.357434,0.782534,-11.937227,30.377007,4.507329,-16.220383,24.886434,52.517305
5.389144,0.222606,0.355538,0.785095,-11.778446,30.290522,4.521518,-15.897383,24.754434,52.687305
5.420410,0.222606,0.355538,0.785095,-11.792973,30.045596,4.651245,-15.897383,24.754434,52.687305
5.471446,0.217896,0.353585,0.787896,-11.447035,30.016542,4.809687,-15.555383,24.618434,52.873305
5.502714,0.217896,0.353585,0.787896,-11.403793,29.944584,4.795498,-15.555383,24.618434,52.873305
5.553655,0.212922,0.351517,0.790924,-11.115624,29.858100,4.997183,-15.194383,24.474434,53.074305
5.584910,0.212922,0.351517,0.790924,-11.057855,29.786142,4.997183,-15.194383,24.474434,53.074305
5.636428,0.207698,0.349348,0.794177,-10.784212,29.901342,5.213394,-14.815383,24.323434,53.290305
5.667696,0.207698,0.349348,0.794177,-10.755159,29.627700,5.314405,-14.815383,24.323434,53.290305
5.718730,0.202252,0.347050,0.797656,-10.279832,29.699658,5.415079,-14.420383,24.163434,53.521305
