t,Icx,Icy,Icz,Bmx,Bmy,Bmz,Bcx,Bcy,Bcz
5.389144,0.222606,0.355538,0.785095,-11.778446,30.290522,4.521518,-9.873716,28.950199,4.78476800000001
5.42041,0.222606,0.355538,0.785095,-11.792973,30.045596,4.651245,-9.873716,28.950199,4.78476800000001
5.471446,0.217896,0.353585,0.787896,-11.447035,30.016542,4.809687,-9.531716,28.814199,4.97076800000001
5.502714,0.217896,0.353585,0.787896,-11.403793,29.944584,4.795498,-9.531716,28.814199,4.97076800000001
5.553655,0.212922,0.351517,0.790924,-11.115624,29.8581,4.997183,-9.170716,28.670199,5.17176800000001
5.58491,0.212922,0.351517,0.790924,-11.057855,29.786142,4.997183,-9.170716,28.670199,5.17176800000001
5.636428,0.207698,0.349348,0.794177,-10.784212,29.901342,5.213394,-8.791716,28.519199,5.387768
5.667696,0.207698,0.349348,0.794177,-10.755159,29.6277,5.314405,-8.791716,28.519199,5.387768
5.71873,0.202252,0.34705,0.797656,-10.279832,29.699658,5.415079,-8.396716,28.359199,5.618768
5.749985,0.202252,0.34705,0.797656,-10.135579,29.613173,5.530279,-8.396716,28.359199,5.618768
5.800977,0.196598,0.344594,0.80136,-9.948083,29.454731,5.660005,-7.986716,28.188199,5.86476800000001
5.832242,0.196598,0.344594,0.80136,-9.991325,29.483446,5.789732,-7.986716,28.188199,5.86476800000001
5.883414,0.190749,0.341994,0.805291,-9.616672,29.223993,5.804259,-7.562716,28.007199,6.12576800000001
5.914673,0.190749,0.341994,0.805291,-9.371745,29.382435,5.948512,-7.562716,28.007199,6.12576800000001
5.965579,0.184746,0.339208,0.809416,-9.270734,28.993593,6.150197,-7.127716,27.813199,6.399768
5.99683,0.184746,0.339208,0.809416,-8.997091,29.06555,6.092428,-7.127716,27.813199,6.399768
6.048077,0.178589,0.336235,0.813738,-8.824122,28.863866,6.279924,-6.681716,27.606199,6.68676800000001
6.079335,0.178589,0.336235,0.813738,-8.535953,28.95035,6.467082,-6.681716,27.606199,6.68676800000001
6.130641,0.172292,0.33306,0.818239,-8.2765,28.806097,6.712346,-6.225716,27.385199,6.98576800000001
6.161892,0.172292,0.33306,0.818239,-8.146773,28.806097,6.798831,-6.225716,27.385199,6.98576800000001
6.212962,0.165896,0.329656,0.822921,-7.757593,28.517928,7.029231,-5.762716,27.148199,7.29676800000001
6.244232,0.165896,0.329656,0.822921,-7.699824,28.373674,7.173484,-5.762716,27.148199,7.29676800000001
6.297796,0.159388,0.326022,0.827768,-7.296454,28.243948,7.216727,-5.291716,26.895199,7.618768
6.329057,0.159388,0.326022,0.827768,-7.253212,28.114221,7.375169,-5.291716,26.895199,7.618768
6.378053,0.152822,0.322158,0.83275,-6.878559,28.013548,7.504896,-4.816716,26.626199,7.94976800000001
6.409312,0.152822,0.322158,0.83275,-6.82079,27.999021,7.692391,-4.816716,26.626199,7.94976800000001
6.460511,0.146185,0.318035,0.837852,-6.431609,27.681798,7.764349,-4.336716,26.339199,8.28876800000001
6.491777,0.146185,0.318035,0.837852,-6.431609,27.566598,8.037992,-4.336716,26.339199,8.28876800000001
6.543021,0.139504,0.31364,0.843059,-5.941756,27.508829,8.283256,-3.853716,26.033199,8.63476800000001
6.574285,0.139504,0.31364,0.843059,-5.782976,27.263903,8.398456,-3.853716,26.033199,8.63476800000001
6.625392,0.132794,0.308986,0.848356,-5.624533,27.321672,8.77311,-3.368716,25.709199,8.98676800000001
6.656663,0.132794,0.308986,0.848356,-5.36508,27.004449,8.77311,-3.368716,25.709199,8.98676800000001
6.707963,0.126067,0.304059,0.853727,-5.048195,26.788238,9.061279,-2.882716,25.366199,9.343768
6.739222,0.126067,0.304059,0.853727,-4.759688,26.687564,9.147763,-2.882716,25.366199,9.343768
6.790369,0.119339,0.298859,0.859128,-4.341792,26.341626,9.363975,-2.396716,25.004199,9.70276800000001
6.821628,0.119339,0.298859,0.859128,-4.241119,26.399395,9.43627,-2.396716,25.004199,9.70276800000001
6.872799,0.112636,0.293358,0.864573,-3.967139,26.154131,9.709913,-1.912716,24.621199,10.064768
6.904057,0.112636,0.293358,0.864573,-3.592485,25.981162,9.897408,-1.912716,24.621199,10.064768
6.955096,0.10596,0.287583,0.870017,-3.534716,25.692993,9.969366,-1.430716,24.219199,10.426768
6.986364,0.10596,0.287583,0.870017,-3.347558,25.64975,10.171051,-1.430716,24.219199,10.426768
7.037905,0.099337,0.281522,0.875431,-2.857367,25.246381,10.329831,-0.952716,23.797199,10.786768
7.069171,0.099337,0.281522,0.875431,-2.698925,25.087601,10.5028,-0.952716,23.797199,10.786768
7.120178,0.092753,0.275173,0.880814,-2.237787,24.914632,10.776442,-0.477715999999999,23.355199,11.144768
7.151447,0.092753,0.275173,0.880814,-2.381702,24.799432,11.021369,-0.477715999999999,23.355199,11.144768
7.20252,0.086252,0.268537,0.886136,-1.935091,24.410252,11.23758,-0.00871599999999972,22.893199,11.498768
7.233776,0.086252,0.268537,0.886136,-1.675637,24.19404,11.482507,-0.00871599999999972,22.893199,11.498768
7.284864,0.079818,0.261643,0.891366,-1.387468,23.992356,11.482507,0.455284000000001,22.413199,11.846768
7.316122,0.079818,0.261643,0.891366,-1.372942,23.920398,11.785203,0.455284000000001,22.413199,11.846768
7.367316,0.073479,0.254447,0.896507,-1.012815,23.632229,11.900741,0.912284000000001,21.912199,12.188768
7.398578,0.073479,0.254447,0.896507,-0.738834,23.401491,12.116952,0.912284000000001,21.912199,12.188768
7.449864,0.067237,0.247008,0.901511,-0.623634,23.026837,12.275395,1.362284,21.394199,12.521768
7.481116,0.067237,0.247008,0.901511,-0.436139,22.825153,12.390595,1.362284,21.394199,12.521768
7.532331,0.061104,0.239296,0.906364,-0.119254,22.551173,12.635521,1.804284,20.857199,12.844768
7.563591,0.061104,0.239296,0.906364,0.226684,22.450161,12.837544,1.804284,20.857199,12.844768
7.614985,0.055081,0.23134,0.911066,0.356411,21.88835,13.139902,2.238284,20.303199,13.157768
7.646258,0.055081,0.23134,0.911066,0.428369,21.787339,13.154428,2.238284,20.303199,13.157768
7.708846,0.049181,0.223141,0.915572,0.976329,21.326201,13.25544,2.663284,19.732199,13.457768
7.740112,0.049181,0.223141,0.915572,0.990518,21.268432,13.64462,2.663284,19.732199,13.457768
7.791841,0.04342,0.214713,0.919867,1.264498,20.706282,13.64462,3.078284,19.145199,13.743768
7.823106,0.04342,0.214713,0.919867,1.466183,20.677567,13.788536,3.078284,19.145199,13.743768
7.874387,0.037782,0.20607,0.923952,1.711109,20.302913,14.047989,3.484284,18.543199,14.015768
7.905658,0.037782,0.20607,0.923952,1.783405,20.04346,14.206431,3.484284,18.543199,14.015768
7.945428,0.032297,0.197213,0.927796,2.042859,19.697522,14.192243,3.879284,17.926199,14.271768
7.976699,0.032297,0.197213,0.927796,2.230016,19.495837,14.292916,3.879284,17.926199,14.271768
8.026779,0.026963,0.188185,0.931384,2.60467,19.063415,14.465885,4.263284,17.297199,14.510768
8.058037,0.026963,0.188185,0.931384,2.662439,18.833015,14.581423,4.263284,17.297199,14.510768
8.109316,0.021781,0.178971,0.934686,2.950608,18.616803,14.783107,4.636284,16.655199,14.730768
8.140582,0.021781,0.178971,0.934686,3.008377,18.328296,14.797296,4.636284,16.655199,14.730768
8.191827,0.016752,0.169586,0.937718,3.253304,17.982696,15.028034,4.998284,16.001199,14.932768
8.223097,0.016752,0.169586,0.937718,3.642484,17.492505,15.05675,4.998284,16.001199,14.932768
8.274235,0.011889,0.160074,0.940465,3.657011,17.132378,15.302014,5.348284,15.338199,15.115768
8.305501,0.011889,0.160074,0.940465,3.829642,16.90164,15.359445,5.348284,15.338199,15.115768
8.356811,0.007178,0.150434,0.942881,4.031664,16.526986,15.561468,5.687284,14.666199,15.276768
8.388083,0.007178,0.150434,0.942881,4.33436,16.296248,15.460457,5.687284,14.666199,15.276768
8.439063,0.002647,0.140681,0.944996,4.377602,15.748626,15.734099,6.013284,13.986199,15.417768
8.470321,0.002647,0.140681,0.944996,4.507329,15.460457,15.763152,6.013284,13.986199,15.417768
8.521527,0.001718,0.13083,0.946767,5.12691,15.114519,15.820584,6.327284,13.299199,15.535768
8.552797,0.001718,0.13083,0.946767,5.299879,14.912834,15.892879,6.327284,13.299199,15.535768
8.60389,0.005916,0.120923,0.948207,5.818786,14.465885,16.036795,6.629284,12.608199,15.631768
8.635155,0.005916,0.120923,0.948207,5.962701,14.249674,15.993553,6.629284,12.608199,15.631768
8.686368,0.009933,0.110947,0.949317,6.323166,13.630093,16.195575,6.918284,11.912199,15.705768
8.717621,0.009933,0.110947,0.949317,6.40965,13.269628,16.209764,6.918284,11.912199,15.705768
8.768932,0.013785,0.10093,0.950068,6.683293,13.039228,16.209764,7.195284,11.213199,15.755768
8.8002,0.013785,0.10093,0.950068,6.798831,12.650048,16.296248,7.195284,11.213199,15.755768
8.851339,0.017455,0.090916,0.950458,6.870789,12.361879,16.339491,7.459284,10.514199,15.781768
8.882601,0.017455,0.090916,0.950458,7.158958,12.044657,16.253006,7.459284,10.514199,15.781768
8.933661,0.020959,0.08089,0.950503,7.403884,11.727772,16.325302,7.711284,9.814199,15.784768
8.964917,0.020959,0.08089,0.950503,7.432938,11.338592,16.325302,7.711284,9.814199,15.784768
9.016069,0.024283,0.070881,0.950173,7.562665,10.805158,16.310775,7.950284,9.115199,15.762768
9.047323,0.024283,0.070881,0.950173,7.807591,10.675431,16.440502,7.950284,9.115199,15.762768
9.098418,0.02744,0.060903,0.949497,7.749822,10.200104,16.39726,8.177284,8.418199,15.717768
9.129668,0.02744,0.060903,0.949497,7.908603,9.983893,16.483744,8.177284,8.418199,15.717768
9.181075,0.030416,0.051,0.948462,7.922792,9.508228,16.411786,8.391284,7.726199,15.648768
9.212331,0.030416,0.051,0.948462,8.052518,9.119048,16.454691,8.391284,7.726199,15.648768
9.263443,0.033225,0.041157,0.947052,8.283256,8.874121,16.354017,8.593284,7.038199,15.554768
9.294713,0.033225,0.041157,0.947052,8.340687,8.369741,16.123279,8.593284,7.038199,15.554768
9.346311,0.035854,0.031403,0.945296,8.456225,7.951845,16.224291,8.782284,6.356199,15.437768
9.377579,0.035854,0.031403,0.945296,8.629194,7.764349,16.022606,8.782284,6.356199,15.437768
9.428482,0.038316,0.02178,0.943181,8.614668,7.432938,15.892879,8.959284,5.683199,15.296768
9.459753,0.038316,0.02178,0.943181,8.845068,7.015042,15.979364,8.959284,5.683199,15.296768
9.51077,0.040611,0.012261,0.94072,8.758921,6.712346,15.95031,9.124284,5.017199,15.132768
9.542031,0.040611,0.012261,0.94072,8.989321,6.351882,15.936121,9.124284,5.017199,15.132768
9.593268,0.042739,0.002902,0.937913,9.090332,5.991755,15.748626,9.277284,4.362199,14.945768
9.62453,0.042739,0.002902,0.937913,9.104521,5.602574,15.820584,9.277284,4.362199,14.945768
9.675586,0.044701,0.00631,0.934776,9.191006,4.982656,15.791868,9.418284,3.717199,14.736768
9.706852,0.044701,0.00631,0.934776,9.191006,4.579287,15.561468,9.418284,3.717199,14.736768
9.758742,0.046495,0.015335,0.931309,9.335259,4.045853,15.489172,9.547284,3.085199,14.505768
9.79001,0.046495,0.015335,0.931309,9.363975,3.657011,15.402688,9.547284,3.085199,14.505768
9.840653,0.048137,0.02417,0.92751,9.594713,3.080335,15.359445,9.665284,2.466199,14.252768
9.871912,0.048137,0.02417,0.92751,9.464986,2.647912,15.229719,9.665284,2.466199,14.252768
9.923029,0.049611,0.032803,0.923396,9.508228,2.474943,15.099992,9.771284,1.861199,13.978768
9.954289,0.049611,0.032803,0.923396,9.623428,2.042859,14.869592,9.771284,1.861199,13.978768
10.005418,0.050933,0.041219,0.918996,9.623428,1.682394,14.783107,9.866284,1.271199,13.685768
10.036678,0.050933,0.041219,0.918996,9.753155,1.42294,14.667907,9.866284,1.271199,13.685768
10.087912,0.052102,0.049404,0.91428,9.810924,0.961802,14.538181,9.950284,0.697199,13.371768
10.119169,0.052102,0.049404,0.91428,9.825113,0.774307,14.278727,9.950284,0.697199,13.371768
10.170395,0.053117,0.057343,0.909308,9.926124,0.442895,14.163189,10.023284,0.140199,13.040768
10.20166,0.053117,0.057343,0.909308,9.983893,0.140199,14.134474,10.023284,0.140199,13.040768
10.253023,0.053994,0.065024,0.90405,9.998082,-0.119254,13.803062,10.086284,-0.398801000000001,12.690768
10.284273,0.053994,0.065024,0.90405,9.868355,-0.320939,13.687862,10.086284,-0.398801000000001,12.690768
10.335268,0.054717,0.072431,0.898535,10.055851,-0.738834,13.471651,10.138284,-0.918801,12.323768
10.36652,0.054717,0.072431,0.898535,9.95484,-0.897277,13.356113,10.138284,-0.918801,12.323768
10.417738,0.055301,0.07958,0.892779,10.084566,-1.243215,13.284155,10.180284,-1.420801,11.940768
10.448997,0.055301,0.07958,0.892779,10.171051,-1.300984,13.067944,10.180284,-1.420801,11.940768
10.500171,0.055733,0.086428,0.886782,10.257535,-1.790837,12.909502,10.211284,-1.901801,11.541768
10.531427,0.055733,0.086428,0.886782,10.027135,-1.935091,12.606806,10.211284,-1.901801,11.541768
10.582657,0.056039,0.092974,0.880573,10.257535,-2.251975,12.563564,10.233284,-2.361801,11.128768
10.613912,0.056039,0.092974,0.880573,10.243346,-2.367513,12.160194,10.233284,-2.361801,11.128768
10.667309,0.056206,0.09922,0.874168,10.185578,-2.698925,12.001414,10.245284,-2.800801,10.702768
10.698569,0.056206,0.09922,0.874168,10.142335,-2.828651,11.727772,10.245284,-2.800801,10.702768
10.747783,0.056247,0.105151,0.867581,10.200104,-3.174589,11.583518,10.248284,-3.217801,10.264768
10.779038,0.056247,0.105151,0.867581,10.156862,-3.477285,11.280823,10.248284,-3.217801,10.264768
10.830095,0.056164,0.110782,0.860812,10.185578,-3.650254,11.136907,10.242284,-3.613801,9.81476800000001
10.861364,0.056164,0.110782,0.860812,10.272062,-3.866128,10.8484,10.242284,-3.613801,9.81476800000001
10.912569,0.055955,0.11607,0.853877,10.127809,-3.895181,10.834211,10.227284,-3.985801,9.353768
10.943834,0.055955,0.11607,0.853877,10.055851,-4.154635,10.516989,10.227284,-3.985801,9.353768
10.994971,0.055621,0.121044,0.846821,10.185578,-4.558004,10.127809,10.203284,-4.335801,8.88476800000001
11.026239,0.055621,0.121044,0.846821,10.156862,-4.759688,10.055851,10.203284,-4.335801,8.88476800000001
11.077325,0.055176,0.125676,0.839628,10.22882,-4.745499,9.839639,10.171284,-4.661801,8.40676800000001
11.108578,0.055176,0.125676,0.839628,10.156862,-4.961711,9.623428,10.171284,-4.661801,8.40676800000001
11.160019,0.05462,0.12998,0.832314,10.041324,-5.120153,9.378501,10.131284,-4.964801,7.920768
11.191272,0.05462,0.12998,0.832314,10.214293,-5.336364,9.061279,10.131284,-4.964801,7.920768
11.242372,0.053938,0.133943,0.824923,10.185578,-5.451564,8.902837,10.082284,-5.243801,7.429768
11.273627,0.053938,0.133943,0.824923,10.185578,-5.682302,8.65791,10.082284,-5.243801,7.429768
